Game_no,End_board,Black_score,Winner,Move_record
72,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-6,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 57, 58, 41, 18, 21, 11, 32, 24, 22, 23, 25, 16, 17, 15, 14, 13, 12, None]"
73,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-50,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 62, 63, 57, 61, 48, 26, 73, 82, 81, 58, 72, None, 25, 14, 24, 23, 27, 16, 71, 52, 51, None, 41, None, 21, None, 32, None, 12, 22, 11, None, 13, None, 15, None, 17, None]"
74,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 71, None, 81, None, 63, None, 61, None, 52, 51, 41, 32, 21, None, 22, 11, 13, None, 23, 24, 14, None, 25, 15, 27, 12, None, 17, 16, None]"
75,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-49,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 73, 82, 72, 62, 81, None, 35, 26, 71, 27, 63, None, 61, None, 52, 51, 41, 32, 57, None, 21, None, 22, None, 23, None, 24, None, 15, 16, 25, 18, 58, 14, 17, None, 13, 12, None]"
76,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-54,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 72, 62, 63, None, 28, 18, 81, 57, 51, 71, 61, 27, 52, None, 26, 24, 41, 16, 21, None, 58, None, 48, None, 25, None, 17, None, 13, 15, 32, None, 23, 22, 11, None, 12, None, 14, None]"
77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-40,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 26, 17, 81, None, 51, 71, 61, None, 52, None, 41, None, 21, None, 22, 32, 24, 23, 12, 14, 15, None, 13, 11, None]"
78,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-57,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 23, 63, 73, 48, 11, 82, 58, 57, None, 28, 27, 72, 81, 61, None, 52, 62, 18, 25, 26, 17, 41, 51, 71, None, 21, None, 32, None, 13, None, 14, 24, 15, None, 16, None]"
79,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 62, 63, 27, 61, 73, 82, 81, 25, 72, 26, 57, 58, 48, None, 17, 16, 71, 52, 51, None, 41, None, 21, None, 32, 24, 23, 22, 11, None, 12, None, 13, 14, 15, None]"
80,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 62, 63, 57, 61, 48, 26, 73, 82, 81, 58, 72, None, 22, 32, 21, 11, 71, 52, 51, None, 41, None, 12, 13, 23, 24, 25, 14, 15, 16, 27, 17, None]"
81,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-40,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 24, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 51, 52, 81, None, 63, None, 71, None, 41, 61, 21, 32, 12, 13, 23, None, 15, None, 16, 18, 17, 14, 26, 25, None]"
82,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', '.', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', '.', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-57,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 63, 72, 81, None, 62, 71, 22, 23, 51, 11, 61, None, 52, None, 57, None, 48, 58, 28, 27, 41, None, 32, 25, 21, None, 18, 17, 26, None, 13, None, 14, None, 16, None]"
83,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-62,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 73, 82, 72, 62, 63, None, 35, 26, 81, 27, 51, 71, 61, None, 52, None, 41, None, 21, None, 57, None, 22, 32, 24, 12, 11, None, 13, None, 23, None, 15, 16, 25, 18, 58, 14, 17, None]"
84,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 32, 73, 11, 57, 82, 63, 72, 48, 58, 28, 27, 21, 52, 12, 13, 61, 81, 16, 18, 17, 15, 26, 25, 14, None, 24, 23, 41, 51, 71, 62, None]"
85,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-21,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 81, None, 71, None, 63, None, 25, 14, 24, 13, 51, None, 52, 61, 41, None, 23, 32, 21, 11, 22, None, 12, None, 15, 16, 27, None]"
86,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-36,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 71, None, 51, 52, 81, None, 61, None, 41, 32, 63, None, 21, 22, 25, 14, 15, 16, 27, 17, 24, 23, 11, 12, 13, None]"
87,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-20,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 22, 11, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 13, 12, 23, 32, 71, 61, 52, 51, 41, None, 21, None]"
88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-46,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 26, 17, 81, None, 24, 23, 15, 14, 51, 71, 61, None, 52, None, 41, None, 21, None, 32, 22, 11, None, 12, None, 13, None]"
89,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 81, None, 71, None, 63, None, 51, None, 25, 14, 27, 24, 16, 15, 17, 52, 61, 32, 41, None, 21, None, 23, 13, 22, 11, 12, None]"
90,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-12,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 81, None, 71, None, 63, None, 25, 14, 24, 13, 15, 16, 17, 27, 12, 11, 61, None, 52, 51, 41, 32, 21, None, 22, 23, None]"
91,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-22,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 27, 25, 15, 24, 48, 14, 57, 58, 26, 16, 17, None, 73, 82, 72, 62, 61, None, 81, None, 23, 13, 71, 63, 52, 51, 41, 32, 21, None, 12, 11, 22, None]"
92,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-38,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 32, 73, 11, 57, 82, 63, 72, 48, 58, 28, 27, 21, 52, 12, 13, 61, 81, 16, 18, 17, 15, 26, 25, 14, None, 23, 62, 24, None, 71, 51, 41, None]"
93,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-18,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 22, 24, 41, 11, 21, None, 13, None, 32, 25, 14, 23, 18, 12, 58, 15, 57, None, 17, 16, None]"
94,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 13, 12, 23, 32, 22, 52, 21, 11, 41, 51, 61, 71, None]"
